PERMNO,date,TICKER,RET
13407,04/05/2021,FB,-0.013082
13407,05/05/2021,FB,-0.010491
13407,06/05/2021,FB,0.015872
13407,07/05/2021,FB,-0.002937
13407,10/05/2021,FB,-0.041087
13407,11/05/2021,FB,0.001830
13407,12/05/2021,FB,-0.012984
13407,13/05/2021,FB,0.008957
13407,14/05/2021,FB,0.034987
13407,17/05/2021,FB,-0.001519
13407,18/05/2021,FB,-0.017435
13407,19/05/2021,FB,0.011711
13407,20/05/2021,FB,0.016008
13407,21/05/2021,FB,-0.007470
13407,24/05/2021,FB,0.026563
13407,25/05/2021,FB,0.009734
13407,26/05/2021,FB,-0.000397
13407,27/05/2021,FB,0.015534
13407,28/05/2021,FB,-0.012081
13407,01/06/2021,FB,0.001217
13407,02/06/2021,FB,0.000061
13407,03/06/2021,FB,-0.009449
13407,04/06/2021,FB,0.013219
13407,07/06/2021,FB,0.018859
13407,08/06/2021,FB,-0.008616
13407,09/06/2021,FB,-0.010279
13407,10/06/2021,FB,0.006692
13407,11/06/2021,FB,-0.003609
13407,14/06/2021,FB,0.016633
13407,15/06/2021,FB,-0.000059
13407,16/06/2021,FB,-0.016837
13407,17/06/2021,FB,0.016401
13407,18/06/2021,FB,-0.020356
13407,21/06/2021,FB,0.007978
13407,22/06/2021,FB,0.020283
13407,23/06/2021,FB,0.004601
13407,24/06/2021,FB,0.007604
13407,25/06/2021,FB,-0.005274
13407,28/06/2021,FB,0.041802
13407,29/06/2021,FB,-0.010544
13407,30/06/2021,FB,-0.011879
13407,01/07/2021,FB,0.019211
13407,02/07/2021,FB,0.000875
13407,06/07/2021,FB,-0.005413
13407,07/07/2021,FB,-0.006491
13407,08/07/2021,FB,-0.013809
13407,09/07/2021,FB,0.013800
13407,12/07/2021,FB,0.007819
13407,13/07/2021,FB,-0.003030
13407,14/07/2021,FB,-0.012667
13407,15/07/2021,FB,-0.009119
13407,16/07/2021,FB,-0.009580
13407,19/07/2021,FB,-0.012340
13407,20/07/2021,FB,0.013978
13407,21/07/2021,FB,0.013376
13407,22/07/2021,FB,0.014326
13407,23/07/2021,FB,0.052963
13407,26/07/2021,FB,0.007220
13407,27/07/2021,FB,-0.012485
13407,28/07/2021,FB,0.014872
13407,29/07/2021,FB,-0.040077
13407,30/07/2021,FB,-0.005637
13407,02/08/2021,FB,-0.012209
13407,03/08/2021,FB,-0.002017
13407,04/08/2021,FB,0.021865
13407,05/08/2021,FB,0.011284
13407,06/08/2021,FB,0.001488
13407,09/08/2021,FB,-0.005227
13407,10/08/2021,FB,-0.001327
13407,11/08/2021,FB,-0.003240
13407,12/08/2021,FB,0.007473
13407,13/08/2021,FB,0.001461
13407,16/08/2021,FB,0.009307
13407,17/08/2021,FB,-0.022125
13407,18/08/2021,FB,-0.008369
13407,19/08/2021,FB,-0.000928
13407,20/08/2021,FB,0.011968
13407,23/08/2021,FB,0.011075
13407,24/08/2021,FB,0.005945
13407,25/08/2021,FB,0.007879
13407,26/08/2021,FB,-0.010885
13407,27/08/2021,FB,0.022641
13407,30/08/2021,FB,0.021550
13407,31/08/2021,FB,-0.003363
13407,01/09/2021,FB,0.007038
13407,02/09/2021,FB,-0.017720
13407,03/09/2021,FB,0.002611
13407,07/09/2021,FB,0.015734
13407,08/09/2021,FB,-0.012062
13407,09/09/2021,FB,0.001139
13407,10/09/2021,FB,0.001825
13407,13/09/2021,FB,-0.005757
13407,14/09/2021,FB,0.000053
13407,15/09/2021,FB,-0.006932
13407,16/09/2021,FB,-0.002300
13407,17/09/2021,FB,-0.022356
13407,20/09/2021,FB,-0.024731
13407,21/09/2021,FB,0.005004
13407,22/09/2021,FB,-0.039918
13407,23/09/2021,FB,0.008013
13407,24/09/2021,FB,0.020234
13407,27/09/2021,FB,0.001757
13407,28/09/2021,FB,-0.036569
13407,29/09/2021,FB,-0.003053
13407,30/09/2021,FB,-0.000648
13407,01/10/2021,FB,0.010666
13407,04/10/2021,FB,-0.048920
13407,05/10/2021,FB,0.020630
13407,06/10/2021,FB,0.002042
13407,07/10/2021,FB,-0.013248
13407,08/10/2021,FB,0.002521
13407,11/10/2021,FB,-0.013937
13407,12/10/2021,FB,-0.005162
13407,13/10/2021,FB,0.002378
13407,14/10/2021,FB,0.012294
13407,15/10/2021,FB,-0.011475
13407,18/10/2021,FB,0.032578
13407,19/10/2021,FB,0.013867
13407,20/10/2021,FB,0.002324
13407,21/10/2021,FB,0.003228
13407,22/10/2021,FB,-0.050515
13407,25/10/2021,FB,0.012569
13407,26/10/2021,FB,-0.039186
13407,27/10/2021,FB,-0.011368
13407,28/10/2021,FB,0.015054
13407,29/10/2021,FB,0.020983
13407,01/11/2021,FB,0.019810
13407,02/11/2021,FB,-0.005758
13407,03/11/2021,FB,0.010790
13407,04/11/2021,FB,0.012756
13407,05/11/2021,FB,0.015721
13407,08/11/2021,FB,-0.007358
13407,09/11/2021,FB,-0.009598
13407,10/11/2021,FB,-0.023049
13407,11/11/2021,FB,0.000305
13407,12/11/2021,FB,0.040123
13407,15/11/2021,FB,0.019566
13407,16/11/2021,FB,-0.013235
13407,17/11/2021,FB,-0.006386
13407,18/11/2021,FB,-0.006104
13407,19/11/2021,FB,0.019516
13407,22/11/2021,FB,-0.012424
13407,23/11/2021,FB,-0.011026
13407,24/11/2021,FB,0.011297
13407,26/11/2021,FB,-0.023280
13407,29/11/2021,FB,0.014739
13407,30/11/2021,FB,-0.040144
13407,01/12/2021,FB,-0.042717
13407,02/12/2021,FB,-0.000676
13407,03/12/2021,FB,-0.011437
13407,06/12/2021,FB,0.035947
13407,07/12/2021,FB,0.015541
13407,08/12/2021,FB,0.024008
13407,09/12/2021,FB,-0.002239
13407,10/12/2021,FB,-0.000212
13407,13/12/2021,FB,0.014374
13407,14/12/2021,FB,-0.002242
13407,15/12/2021,FB,0.023731
13407,16/12/2021,FB,-0.019786
13407,17/12/2021,FB,-0.003314
13407,20/12/2021,FB,-0.024986
13407,21/12/2021,FB,0.026886
13407,22/12/2021,FB,-0.011221
13407,23/12/2021,FB,0.014495
13407,27/12/2021,FB,0.032633
13407,28/12/2021,FB,0.000116
